Date,Baseload in ct/kWh,MW Wind Onshore in ct/kwh,MW Wind Offshore in ct/kwh,Solar in ct/kwh,Capture factor MW Wind Onshore,Capture factor MW Wind Offshore,Capture factor Solar,Price_volatility,Price_volatility_adj
2017-11-01,4.037,3.088,3.254,4.297,0.7649244488481546,0.8060440921476344,1.0644042605895467,20.11593131047704,-0.13722746431883548
2017-12-01,3.077,2.192,2.47,3.299,0.712382190445239,0.8027299317517063,1.0721481962950927,21.689366021066185,0.07821833780917942
2018-01-01,2.946,2.177,2.468,3.44,0.7389680923285811,0.8377460964019008,1.1676849966055667,18.838097955605274,-0.13145926269544095
2018-02-01,4.012,3.545,3.666,4.038,0.8835992023928216,0.9137587238285145,1.0064805583250251,12.086534032019523,-0.35839944879237784
2018-03-01,3.736,2.949,3.181,3.698,0.7893468950749464,0.8514453961456102,0.9898286937901498,16.067716944802957,0.3293899559821305
2018-04-01,3.206,2.924,3.118,2.954,0.9120399251403618,0.9725514660012476,0.9213973799126638,11.495160440824984,-0.28458034950988786
2018-05-01,3.354,2.757,3.17,3.186,0.8220035778175313,0.9451401311866428,0.9499105545617174,15.084635771562162,0.31225969826303435
2018-06-01,4.242,3.737,3.83,4.251,0.8809523809523809,0.9028760018859029,1.0021216407355023,11.336611739403782,-0.2484663261955734
2018-07-01,4.954,4.686,4.757,4.9,0.9459023011707711,0.9602341542188131,0.9890997174000808,9.275887366536441,-0.18177603857638325
2018-08-01,5.619,5.235,5.244,5.595,0.9316604378003205,0.9332621462893753,0.99572877736252,10.916382785003835,0.1768559010737476
2018-09-01,5.483,4.805,5.051,5.21,0.8763450665693964,0.9212110158672261,0.950209739193872,15.620114252826859,0.4308873699706355
2018-10-01,5.311,4.337,4.818,5.325,0.8166070419883261,0.9071737902466578,1.0026360384108455,19.21702929508604,0.23027456675665658
2018-11-01,5.668,5.214,5.379,5.976,0.9199011997177136,0.9490119971771347,1.0543401552575864,14.840932704263947,-0.2277197231489415
2018-12-01,4.813,3.94,4.378,5.612,0.8186162476625806,0.9096197797631416,1.1660087263660919,20.237744889923906,0.36364373406998873
2019-01-01,4.939,3.833,4.298,5.906,0.7760680299655801,0.8702166430451508,1.1957886211783761,22.275072320429878,0.10066968635029738
2019-02-01,4.282,3.811,4.088,4.213,0.8900046707146193,0.9546940681924334,0.9838860345632882,11.944848716180978,-0.4637571297478751
2019-03-01,3.063,2.423,2.672,3.075,0.7910545217107411,0.8723473718576559,1.0039177277179236,15.36873378216273,0.28664114107561844
2019-04-01,3.696,3.262,3.416,3.172,0.8825757575757576,0.9242424242424242,0.8582251082251082,14.959527755649143,-0.026625877727709746
2019-05-01,3.784,3.564,3.559,3.53,0.9418604651162791,0.94053911205074,0.9328752642706131,11.16793311655153,-0.25345684041836136
2019-06-01,3.252,2.231,2.662,2.91,0.6860393603936039,0.8185731857318573,0.8948339483394835,19.82804453100468,0.7754444196678036
2019-07-01,3.969,3.641,3.644,3.917,0.9173595364071555,0.9181153943058705,0.9868984630889392,9.109428419860263,-0.5405785777000829
2019-08-01,3.685,3.029,3.2,3.376,0.8219810040705563,0.8683853459972863,0.916146540027137,12.649282144872487,0.388592298205525
2019-09-01,3.575,3.064,3.317,3.345,0.857062937062937,0.9278321678321678,0.9356643356643357,12.501224359439709,-0.01170483698102942
2019-10-01,3.694,3.194,3.323,3.788,0.8646453708716838,0.8995668651867894,1.0254466702761234,12.789436087584418,0.02305468007436251
2019-11-01,4.1,3.709,3.835,4.383,0.9046341463414636,0.9353658536585366,1.0690243902439025,11.311652075123106,-0.11554723776257014
2019-12-01,3.197,2.599,2.936,3.696,0.8129496402877698,0.9183609634031904,1.1560838285893025,16.86726391456313,0.4911406223020309
2020-01-01,3.503,3.091,3.321,3.831,0.8823865258349985,0.9480445332572082,1.0936340279760206,11.503753731884265,-0.3179834150841756
2020-02-01,2.192,1.68,1.92,2.319,0.7664233576642335,0.875912408759124,1.0579379562043794,16.05468789719018,0.3956042759062517
2020-03-01,2.249,1.773,1.81,1.618,0.7883503779457536,0.8048021342819031,0.7194308581591818,13.850542472174723,-0.13728983329543376
2020-04-01,1.709,0.94,1.128,0.89,0.5500292568753656,0.6600351082504388,0.5207723815096548,16.627879878301332,0.20052192263993907
2020-05-01,1.76,1.214,1.247,1.413,0.6897727272727272,0.7085227272727274,0.8028409090909091,13.738044635577625,-0.17379457055705694
2020-06-01,2.618,2.203,2.196,2.473,0.8414820473644002,0.8388082505729566,0.9446142093200917,10.886168764223651,-0.20758964954651749
2020-07-01,3.006,2.035,2.265,2.623,0.6769793745841651,0.753493013972056,0.8725881570192949,14.923898554036256,0.37090457416774725
2020-08-01,3.486,3.005,3.142,3.321,0.8620195065978198,0.9013195639701663,0.9526678141135972,11.563646682859183,-0.22515912038736507
2020-09-01,4.369,3.785,3.758,3.981,0.8663309681849394,0.8601510643167773,0.9111924925612268,18.118861508995717,0.5668812794024003
2020-10-01,3.397,2.986,3.14,3.269,0.8790108919634974,0.9243450103032088,0.9623196938475126,14.421642658372633,-0.20405359623657793
2020-11-01,3.879,3.199,3.454,3.998,0.8246970868780613,0.8904356792987884,1.0306780097963393,14.964763854355343,0.03766014793518657
2020-12-01,4.352,3.291,3.888,4.811,0.756204044117647,0.8933823529411764,1.10546875,20.892804239237716,0.39613323956041424
2021-01-01,5.282,4.645,4.816,5.543,0.879401741764483,0.9117758424839075,1.049413101098069,15.551270204142945,-0.2556638148680447
2021-02-01,4.87,4.361,4.742,4.499,0.8954825462012319,0.9737166324435318,0.9238193018480492,16.54250316683567,0.06373967847518047
2021-03-01,4.716,3.395,3.892,4.105,0.7198897370653096,0.825275657336726,0.8704410517387617,20.275297883154117,0.22564872309058637
2021-04-01,5.361,4.353,4.481,4.551,0.8119753777280359,0.8358515202387614,0.8489087856743146,23.23556274221269,0.14600351995410787
2021-05-01,5.335,4.134,3.944,4.187,0.7748828491096533,0.7392689784442362,0.7848172446110591,28.384531701629374,0.22159863380723777
