,Date,Weighted_volatility_adj
151,2015-06-01,2.335963598445074
152,2015-06-02,-0.5203133568794334
153,2015-06-03,1.2742852839972691
154,2015-06-04,-0.42852332456080267
155,2015-06-05,0.14396801259005731
156,2015-06-06,-0.34861858083876507
157,2015-06-07,0.45495855468032653
158,2015-06-08,0.08882616609450533
159,2015-06-09,0.1100772541557884
160,2015-06-10,-0.35186160787598075
161,2015-06-11,0.26893851852541273
162,2015-06-12,-0.09796552619639542
163,2015-06-13,-0.5274413275195933
164,2015-06-14,1.2104390292035037
165,2015-06-15,0.2581571258625692
166,2015-06-16,0.004582227637462966
167,2015-06-17,-0.2476266992324454
168,2015-06-18,-0.12040610185361411
169,2015-06-19,-0.055123934004462694
170,2015-06-20,-0.09182620426401622
171,2015-06-21,0.5857289189566564
172,2015-06-22,0.055292754508107
